date,dow,time,holiday
2023-01-09,Mon,9:10 to 10:00,NA
2023-01-11,Wed,9:10 to 11:10,NA
2023-01-13,Fri,9:10 to 10:00,NA
2023-01-16,Mon,9:10 to 10:00,MLK
2023-01-18,Wed,9:10 to 11:10,NA
2023-01-20,Fri,9:10 to 10:00,NA
2023-01-23,Mon,9:10 to 10:00,NA
2023-01-25,Wed,9:10 to 11:10,NA
2023-01-27,Fri,9:10 to 10:00,NA
2023-01-30,Mon,9:10 to 10:00,NA
2023-02-01,Wed,9:10 to 11:10,NA
2023-02-03,Fri,9:10 to 10:00,NA
2023-02-06,Mon,9:10 to 10:00,NA
2023-02-08,Wed,9:10 to 11:10,NA
2023-02-10,Fri,9:10 to 10:00,NA
2023-02-13,Mon,9:10 to 10:00,NA
2023-02-15,Wed,9:10 to 11:10,NA
2023-02-17,Fri,9:10 to 10:00,NA
2023-02-20,Mon,9:10 to 10:00,NA
2023-02-22,Wed,9:10 to 11:10,NA
2023-02-24,Fri,9:10 to 10:00,NA
2023-02-27,Mon,9:10 to 10:00,NA
2023-03-01,Wed,9:10 to 11:10,NA
2023-03-03,Fri,9:10 to 10:00,NA
2023-03-06,Mon,9:10 to 10:00,Spring Break
2023-03-08,Wed,9:10 to 11:10,Spring Break
2023-03-10,Fri,9:10 to 10:00,Spring Break
2023-03-13,Mon,9:10 to 10:00,NA
2023-03-15,Wed,9:10 to 11:10,NA
2023-03-17,Fri,9:10 to 10:00,NA
2023-03-20,Mon,9:10 to 10:00,NA
2023-03-22,Wed,9:10 to 11:10,NA
2023-03-24,Fri,9:10 to 10:00,NA
2023-03-27,Mon,9:10 to 10:00,NA
2023-03-29,Wed,9:10 to 11:10,NA
2023-03-31,Fri,9:10 to 10:00,NA
2023-04-03,Mon,9:10 to 10:00,NA
2023-04-05,Wed,9:10 to 11:10,NA
2023-04-07,Fri,9:10 to 10:00,NA
2023-04-10,Mon,9:10 to 10:00,NA
2023-04-12,Wed,9:10 to 11:10,NA
2023-04-14,Fri,9:10 to 10:00,NA
2023-04-17,Mon,9:10 to 10:00,NA
2023-04-19,Wed,9:10 to 11:10,NA
2023-04-21,Fri,9:10 to 10:00,NA
2023-04-24,Mon,9:10 to 10:00,NA
2023-04-26,Wed,9:10 to 11:10,NA
2023-04-28,Fri,9:10 to 10:00,NA
2023-05-01,Mon,9:10 to 10:00,NA
2023-05-03,Wed,9:10 to 11:10,NA
2023-05-05,Fri,9:10 to 10:00,NA
2023-05-08,Mon,9:10 to 10:00,NA
